图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,彗星-预测置信度,地球-预测置信度,木星-预测置信度,火星-预测置信度,水星-预测置信度,月球-预测置信度,海王星-预测置信度,冥王星-预测置信度,土星-预测置信度,太阳-预测置信度,天王星-预测置信度,金星-预测置信度
../image_acquisition/dataset_split\val\Comet\148.jpg,0,彗星,9,太阳,0,彗星,5,月球,True,0.20017488,0.04641046,0.009587306,0.015458864,0.04198738,0.07795923,0.052555975,0.0050939973,0.01755566,0.509648,0.0072118067,0.016356377
../image_acquisition/dataset_split\val\Comet\151.jpg,0,彗星,0,彗星,9,太阳,3,火星,True,0.99957114,1.7863884e-05,6.166473e-06,7.300273e-05,2.011852e-06,4.4652963e-05,7.291096e-05,1.2752128e-05,3.5091893e-05,0.00015377405,1.0719383e-06,9.503683e-06
../image_acquisition/dataset_split\val\Comet\158.jpg,0,彗星,0,彗星,1,地球,9,太阳,True,0.91673815,0.063071825,9.631551e-05,0.0015858655,9.72711e-05,0.00014838153,0.00043396102,5.4224433e-06,0.004070754,0.008957872,0.00060871884,0.004185511
../image_acquisition/dataset_split\val\Comet\171.jpg,0,彗星,0,彗星,5,月球,6,海王星,True,0.9999927,3.2782503e-07,6.2465624e-08,1.56449e-07,3.1036354e-08,2.910984e-06,1.139924e-06,1.2751971e-09,1.1254804e-06,9.605048e-07,1.2691444e-07,5.1011824e-07
../image_acquisition/dataset_split\val\Comet\173.jpg,0,彗星,0,彗星,11,金星,8,土星,True,0.9996736,1.7016107e-05,2.1876656e-05,2.1664355e-06,2.2923489e-06,1.3898462e-05,4.7207363e-05,1.5436361e-06,5.8638394e-05,3.7998547e-05,9.264246e-06,0.00011457794
../image_acquisition/dataset_split\val\Comet\174.jpg,0,彗星,0,彗星,9,太阳,2,木星,True,0.9240053,0.007749276,0.018647866,0.0023708588,2.7967835e-06,2.2641583e-05,0.0010062312,8.655117e-06,0.0031674204,0.03601831,0.00034948564,0.0066511566
../image_acquisition/dataset_split\val\Comet\180.jpg,0,彗星,0,彗星,1,地球,10,天王星,True,0.9995371,0.00026506282,2.4679872e-07,4.9806295e-07,3.0176133e-07,2.613505e-05,3.7809055e-05,1.9718496e-09,3.6877947e-05,9.96428e-06,7.7839555e-05,8.087657e-06
../image_acquisition/dataset_split\val\Comet\184.jpg,0,彗星,0,彗星,1,地球,6,海王星,True,0.63784844,0.20577773,0.00040476752,0.038632885,5.704988e-05,0.00015655128,0.0700093,4.856837e-05,0.0003977099,0.008050205,0.023357496,0.015259405
../image_acquisition/dataset_split\val\Comet\19.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.99003917,0.0013851612,0.0008892304,0.0004260867,3.273493e-06,3.5709894e-05,0.00031293166,5.830712e-05,0.0004574006,0.0044234064,0.00024460765,0.0017246626
../image_acquisition/dataset_split\val\Comet\190.jpg,0,彗星,0,彗星,1,地球,5,月球,True,0.9135798,0.05270184,9.1456655e-05,0.00032756792,1.2971682e-05,0.021085002,0.0005764035,0.00020419809,0.00034775524,0.005769455,0.0020351291,0.003268404
../image_acquisition/dataset_split\val\Comet\200.jpg,0,彗星,0,彗星,5,月球,6,海王星,True,0.9999939,3.2045529e-07,4.250117e-08,8.7222205e-08,2.0681595e-08,2.737083e-06,1.042838e-06,6.196652e-10,8.6568906e-07,5.974539e-07,1.0896862e-07,3.1242084e-07
../image_acquisition/dataset_split\val\Comet\203.jpg,0,彗星,0,彗星,1,地球,5,月球,True,0.9902232,0.0033668405,0.00029839395,0.00023863728,7.631803e-05,0.0014755034,0.001462908,9.1396005e-06,0.0007050571,0.0011686116,0.00079111283,0.000184049
../image_acquisition/dataset_split\val\Comet\205.jpg,0,彗星,0,彗星,1,地球,2,木星,True,0.9997547,8.4513005e-05,3.465788e-05,2.0702519e-06,1.8729726e-06,1.267261e-06,2.3571707e-05,3.0305515e-07,3.196947e-05,1.7828239e-05,1.2780722e-05,3.4437173e-05
../image_acquisition/dataset_split\val\Comet\21.jpg,0,彗星,11,金星,0,彗星,9,太阳,True,0.31474918,0.006761423,0.0907851,0.11212684,3.3711283e-05,0.00022528673,0.0043336847,0.003233519,0.014195757,0.11312168,0.00349904,0.3369348
../image_acquisition/dataset_split\val\Comet\210.jpg,0,彗星,0,彗星,8,土星,6,海王星,True,0.9995498,9.0538715e-06,3.3872038e-06,1.3609708e-05,5.242368e-06,2.1616717e-05,5.5649773e-05,1.1081503e-06,0.0003050867,2.285191e-05,1.2103685e-05,5.2099784e-07
../image_acquisition/dataset_split\val\Comet\213.jpg,0,彗星,0,彗星,8,土星,9,太阳,True,0.9999447,3.3656124e-07,5.59897e-06,4.9146405e-07,2.798649e-07,1.1324562e-07,4.975702e-06,5.950085e-07,2.9060138e-05,8.657376e-06,1.7536732e-07,5.0051754e-06
../image_acquisition/dataset_split\val\Comet\224.jpg,0,彗星,0,彗星,1,地球,9,太阳,True,0.99991846,4.329946e-05,6.2940165e-07,6.063588e-08,5.0165465e-08,3.2126234e-06,4.92478e-06,1.8818678e-09,7.1306845e-06,1.9554042e-05,1.2107265e-06,1.4952387e-06
../image_acquisition/dataset_split\val\Comet\225.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.7481399,0.014750794,0.017397985,0.00615975,0.0008485377,0.0042044623,0.013366022,0.036618665,0.010236174,0.0727365,0.00353668,0.072004594
../image_acquisition/dataset_split\val\Comet\229.jpg,0,彗星,0,彗星,8,土星,3,火星,True,0.99665666,5.021201e-05,2.1299358e-05,0.0010052866,1.235299e-05,8.273722e-05,0.00039082204,2.9860856e-05,0.0010967156,0.0006295115,1.2522225e-05,1.2036375e-05
../image_acquisition/dataset_split\val\Comet\241.jpg,0,彗星,0,彗星,8,土星,9,太阳,True,0.99993324,6.4731984e-07,6.933442e-06,6.713893e-07,4.2987352e-07,1.7937165e-07,9.045993e-06,9.807984e-07,2.4287812e-05,1.49113475e-05,3.1424526e-07,8.267382e-06
../image_acquisition/dataset_split\val\Comet\251.jpg,0,彗星,7,冥王星,9,太阳,1,地球,False,0.0003918048,0.0073676025,7.4965465e-05,0.005635942,2.4760062e-05,0.000511214,0.00070299173,0.9663303,0.0019892927,0.009114309,0.001059206,0.006797708
../image_acquisition/dataset_split\val\Comet\253.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99997056,2.4024582e-06,1.7833581e-07,2.111868e-06,4.9121038e-08,2.4314522e-06,7.665318e-06,3.6677154e-08,2.2926513e-06,1.1143157e-05,9.091732e-07,3.1104665e-07
../image_acquisition/dataset_split\val\Comet\255.jpg,0,彗星,0,彗星,5,月球,6,海王星,True,0.99877626,7.5024785e-05,3.2464668e-06,2.851254e-06,7.3044603e-06,0.0005972363,0.00033714823,9.890514e-08,7.510009e-05,5.0773604e-05,4.184448e-05,3.310787e-05
../image_acquisition/dataset_split\val\Comet\26.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.9984812,0.0002239722,4.171424e-05,1.18276275e-05,4.6775597e-07,8.1803006e-07,2.8632427e-05,4.0079482e-07,3.7487665e-05,0.0008928285,3.6781104e-05,0.00024389957
../image_acquisition/dataset_split\val\Comet\266.jpg,0,彗星,0,彗星,9,太阳,10,天王星,True,0.9606866,0.00020587695,6.305854e-05,0.00011531757,1.6065356e-05,3.936317e-06,0.0051097986,4.849444e-07,0.0021749886,0.024166241,0.0069507826,0.00050684164
../image_acquisition/dataset_split\val\Comet\268.jpg,0,彗星,0,彗星,5,月球,11,金星,True,0.98344547,7.253705e-07,0.00040656436,0.00032900996,1.1014889e-05,0.014642245,4.1030915e-05,8.837925e-08,0.0002938104,8.251908e-05,7.5719895e-06,0.0007400046
../image_acquisition/dataset_split\val\Comet\279.jpg,0,彗星,0,彗星,8,土星,3,火星,True,0.9533233,0.005803118,0.0025143514,0.00989399,0.00023369778,0.0021094913,0.0009556385,0.00041697462,0.017292788,0.007050587,0.00011145796,0.0002947204
../image_acquisition/dataset_split\val\Comet\294.jpg,0,彗星,9,太阳,1,地球,3,火星,False,0.017096175,0.23300132,5.3136242e-05,0.07418351,2.6311534e-06,0.01284977,0.07087668,1.611879e-06,0.00036742992,0.57054955,0.007104082,0.013914135
../image_acquisition/dataset_split\val\Comet\296.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99936324,3.281628e-05,3.249729e-06,8.276036e-06,1.8132863e-07,8.273443e-07,4.5198492e-05,2.5368496e-07,2.7038573e-06,0.0005377675,8.983325e-07,4.4739204e-06
../image_acquisition/dataset_split\val\Comet\299.jpg,0,彗星,0,彗星,10,天王星,1,地球,True,0.98961407,0.0022593536,4.7807163e-05,3.207247e-05,1.8687822e-05,7.483803e-05,0.00029936724,3.4399745e-05,0.00042514084,0.00079255993,0.0054052267,0.0009965047
../image_acquisition/dataset_split\val\Comet\301.jpg,0,彗星,0,彗星,9,太阳,8,土星,True,0.99996126,6.9158914e-06,2.4033272e-06,8.0365105e-08,9.611195e-09,1.3128604e-08,4.6895107e-06,1.1724531e-09,7.520923e-06,1.4803089e-05,1.3820903e-06,9.748e-07
../image_acquisition/dataset_split\val\Comet\310.jpg,0,彗星,0,彗星,8,土星,5,月球,True,0.8661725,0.005099315,0.022433775,0.005053896,0.012767884,0.026730487,0.00958478,0.0026615744,0.030713825,0.0020555141,0.0063594053,0.010367083
../image_acquisition/dataset_split\val\Comet\311.jpg,0,彗星,0,彗星,1,地球,3,火星,True,0.760086,0.124501795,0.0006027079,0.03013311,0.0003915672,0.00178371,0.025149738,0.00022169635,0.0006543155,0.02347699,0.009797924,0.023200493
../image_acquisition/dataset_split\val\Comet\313.jpg,0,彗星,0,彗星,5,月球,8,土星,True,0.99983656,1.2843573e-05,3.8028254e-06,2.4845593e-05,1.894456e-06,6.1090046e-05,4.948862e-06,3.5313641e-07,3.6568505e-05,1.389185e-05,2.3403204e-06,7.5783475e-07
../image_acquisition/dataset_split\val\Comet\316.jpg,0,彗星,1,地球,0,彗星,5,月球,True,0.11560669,0.73697,0.0040798015,0.001524829,0.015440086,0.061776996,0.008528634,0.00056412566,0.0017488285,0.022245737,0.010221038,0.021293214
../image_acquisition/dataset_split\val\Comet\322.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.9565994,0.00017492296,0.0031030895,0.0028882874,4.447376e-06,0.00039765416,0.00067316246,7.660717e-05,0.0084114615,0.016604755,0.00028718173,0.010778923
../image_acquisition/dataset_split\val\Comet\324.jpg,0,彗星,0,彗星,5,月球,9,太阳,True,0.9940599,0.000624656,0.0001586069,0.0011066518,5.43008e-05,0.001425718,0.00046290475,0.00035753593,0.0003187882,0.0011728636,6.0020608e-05,0.00019816996
../image_acquisition/dataset_split\val\Comet\329.jpg,0,彗星,0,彗星,11,金星,2,木星,True,0.9449932,0.00080952933,0.007066182,0.00080367975,0.00051564915,0.002236391,0.006832955,5.8299956e-05,0.006192701,0.0036102938,0.0016174738,0.025263753
../image_acquisition/dataset_split\val\Comet\343.jpg,0,彗星,0,彗星,6,海王星,9,太阳,True,0.5465621,0.07828164,0.0022281234,0.0024006395,0.0011011177,0.005304941,0.16328636,9.0506604e-05,0.0008594008,0.15880655,0.014670168,0.026408503
../image_acquisition/dataset_split\val\Comet\345.jpg,0,彗星,0,彗星,6,海王星,5,月球,True,0.9998118,1.981871e-06,3.4820673e-07,2.923107e-05,1.6977114e-06,4.7800873e-05,9.188833e-05,1.1881812e-06,4.868691e-06,8.458189e-06,5.3086734e-07,2.1520856e-07
../image_acquisition/dataset_split\val\Comet\348.jpg,0,彗星,9,太阳,11,金星,0,彗星,True,0.06272021,0.026262218,0.0044715884,0.014678218,0.0017246013,0.0013042043,0.015386432,0.0025587762,0.004731669,0.76236296,0.009477482,0.09432164
../image_acquisition/dataset_split\val\Comet\354.jpg,0,彗星,1,地球,0,彗星,6,海王星,True,0.01577435,0.97386837,2.9148791e-06,0.00013710516,7.192361e-07,0.00280211,0.0036434398,6.509091e-08,0.00012416921,0.0016375713,0.0019926568,1.6384358e-05
../image_acquisition/dataset_split\val\Comet\36.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.99841714,3.5658284e-06,2.3222427e-05,6.437439e-06,1.0093597e-06,1.5179272e-06,5.7468933e-05,4.1841745e-06,0.00043039306,0.0005420209,8.257847e-06,0.0005049478
../image_acquisition/dataset_split\val\Comet\364.jpg,0,彗星,0,彗星,5,月球,8,土星,True,0.9644109,0.0025976282,0.0004388785,0.005935093,5.5077697e-05,0.009555552,0.004043851,9.934217e-06,0.006765082,0.00503821,0.00083836424,0.00031139757
../image_acquisition/dataset_split\val\Comet\365.jpg,0,彗星,0,彗星,1,地球,9,太阳,True,0.7172634,0.11879641,3.1039042e-05,0.0058913804,2.1479169e-05,0.00016758182,0.009992936,2.177629e-06,0.0059664315,0.103852384,0.0376541,0.00036066453
../image_acquisition/dataset_split\val\Comet\375.jpg,0,彗星,0,彗星,5,月球,8,土星,True,0.99939525,1.3870259e-07,1.17839356e-07,1.3630161e-07,1.0317399e-06,0.00059386867,2.3312309e-07,2.727414e-09,7.995453e-06,6.3795517e-07,2.186239e-07,2.7402862e-07
../image_acquisition/dataset_split\val\Comet\38.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99953675,4.4198103e-05,1.0240447e-05,1.178421e-05,2.0334936e-07,2.082339e-06,0.00011507032,1.1690771e-06,9.903644e-06,0.00024604893,3.19605e-06,1.9408675e-05
../image_acquisition/dataset_split\val\Comet\380.jpg,0,彗星,5,月球,0,彗星,9,太阳,True,2.9925422e-05,3.0735794e-08,2.22195e-09,1.426775e-09,3.2553776e-10,0.999964,2.033264e-08,1.9524871e-11,1.2732812e-06,4.696474e-06,7.0022885e-09,2.5969547e-09
../image_acquisition/dataset_split\val\Comet\387.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.6727072,0.02973816,0.04568594,0.011399669,0.0027751713,0.015164882,0.011173642,0.041218627,0.022332232,0.06604067,0.016111596,0.06565227
../image_acquisition/dataset_split\val\Comet\392.jpg,0,彗星,0,彗星,3,火星,9,太阳,True,0.9991543,6.2215695e-05,1.626109e-05,0.00020923797,7.5681905e-06,9.644438e-05,0.0001705475,7.615121e-06,4.0603885e-05,0.00018764754,1.1420436e-05,3.6133104e-05
../image_acquisition/dataset_split\val\Comet\393.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.9985876,5.594526e-05,3.766357e-05,0.00012501763,2.8907377e-06,3.626764e-05,0.00016926228,3.609164e-05,7.459763e-05,0.00075725385,6.5720424e-06,0.0001109212
../image_acquisition/dataset_split\val\Comet\402.jpg,0,彗星,0,彗星,6,海王星,8,土星,True,0.9999901,9.561373e-07,7.2614085e-08,3.2699035e-08,2.9074748e-08,6.3090107e-07,4.505445e-06,1.7205062e-09,1.6142645e-06,7.339591e-07,6.5209736e-07,6.5839373e-07
../image_acquisition/dataset_split\val\Comet\403.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.9995352,3.171526e-05,3.659969e-05,3.2239383e-05,1.0257521e-06,4.0092586e-06,9.0563684e-05,2.9209762e-06,3.253633e-05,0.00018673133,4.1721987e-06,4.231329e-05
../image_acquisition/dataset_split\val\Comet\405.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99761534,3.2897955e-05,7.555666e-05,2.3353095e-05,4.5869424e-06,6.5262525e-06,0.0007493611,1.0135074e-05,9.113863e-05,0.0011897914,1.624639e-05,0.00018514693
../image_acquisition/dataset_split\val\Comet\41.jpg,0,彗星,5,月球,0,彗星,8,土星,True,0.2536329,0.030819168,0.036601834,0.054322533,0.0014594203,0.35252276,0.02355508,0.0029386564,0.22530003,0.013142555,0.0022274333,0.003477697
../image_acquisition/dataset_split\val\Comet\410.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.9927604,0.00026530575,1.9838415e-05,0.00012261736,8.27034e-06,4.578775e-05,0.00042647624,4.7908393e-06,8.474386e-05,0.0061097452,2.9514451e-05,0.00012251636
../image_acquisition/dataset_split\val\Comet\412.jpg,0,彗星,0,彗星,11,金星,2,木星,True,0.8949317,0.0018903874,0.031991243,0.0025788648,0.0001257819,0.00013707446,0.004590003,0.00062606466,0.011069078,0.014607079,0.0016360002,0.035816748
../image_acquisition/dataset_split\val\Comet\416.jpg,0,彗星,0,彗星,1,地球,5,月球,True,0.8223486,0.096460015,0.00593957,0.0027470237,0.0005942836,0.021819983,0.009612841,0.004618407,0.01008925,0.009988406,0.010013299,0.0057682837
../image_acquisition/dataset_split\val\Comet\435.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.9998111,2.5056695e-06,1.238374e-06,2.4767127e-05,1.2073106e-06,7.0635188e-06,5.556121e-05,5.218296e-06,1.0398069e-05,7.6936034e-05,2.4130463e-07,3.7797515e-06
../image_acquisition/dataset_split\val\Comet\442.jpg,0,彗星,0,彗星,9,太阳,1,地球,True,0.9981675,0.00015246733,6.56827e-06,4.5646342e-05,5.483411e-08,5.9713244e-08,9.1717186e-05,8.744947e-09,1.3126426e-05,0.0013667423,2.9446628e-05,0.00012672962
../image_acquisition/dataset_split\val\Comet\444.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.9998362,1.0689732e-05,1.0068918e-05,1.1401963e-05,1.369432e-06,1.2098461e-05,3.9351497e-05,6.779884e-07,2.10586e-05,4.5166522e-05,3.4169016e-06,8.495641e-06
../image_acquisition/dataset_split\val\Comet\449.jpg,0,彗星,8,土星,6,海王星,7,冥王星,False,0.007669558,1.5789628e-05,0.0039735897,9.352072e-05,0.00014332357,1.4885147e-05,0.20360108,0.037486356,0.7421701,0.00077741704,0.003894895,0.00015953091
../image_acquisition/dataset_split\val\Comet\450.jpg,0,彗星,0,彗星,6,海王星,11,金星,True,0.99963784,6.4314395e-06,3.265368e-06,4.1502977e-07,1.802226e-06,2.9365985e-05,0.00017453871,9.67767e-08,1.22201245e-05,1.6144633e-05,5.3230895e-05,6.452134e-05
../image_acquisition/dataset_split\val\Comet\453.jpg,0,彗星,0,彗星,5,月球,6,海王星,True,0.8074213,2.859048e-06,3.4333075e-07,6.847403e-08,9.103165e-06,0.19226477,0.00016249652,5.260327e-09,2.5182491e-05,4.4924332e-07,0.00011153033,1.7621678e-06
../image_acquisition/dataset_split\val\Comet\460.jpg,0,彗星,0,彗星,11,金星,6,海王星,True,0.99995875,2.326821e-06,1.476354e-06,2.0256734e-07,6.641955e-08,8.4818815e-08,9.856746e-06,1.0553873e-08,4.490852e-06,6.33856e-06,1.574427e-06,1.4793835e-05
../image_acquisition/dataset_split\val\Comet\462.jpg,0,彗星,9,太阳,6,海王星,1,地球,False,0.00012689662,0.26243085,0.00017108562,0.0861332,3.3736014e-05,0.00050379394,0.27711642,6.3229277e-07,0.003927639,0.3655367,0.0033176045,0.0007015078
../image_acquisition/dataset_split\val\Comet\469.jpg,0,彗星,0,彗星,5,月球,9,太阳,True,0.99992263,4.630282e-07,2.294323e-07,1.4128331e-06,9.244759e-08,6.357083e-05,6.5904726e-07,2.2681197e-08,3.0513238e-06,6.5415834e-06,8.456283e-07,3.1383644e-07
../image_acquisition/dataset_split\val\Comet\470.jpg,0,彗星,0,彗星,5,月球,9,太阳,True,0.999403,4.6132502e-07,9.014931e-09,6.89853e-08,4.396678e-09,0.00058412465,1.8103778e-07,1.1086714e-08,3.3826873e-06,8.581308e-06,1.7278865e-07,5.0434608e-09
../image_acquisition/dataset_split\val\Comet\477.jpg,0,彗星,4,水星,0,彗星,8,土星,True,0.462724,0.00564171,0.0062176404,0.010892923,0.47425532,0.010740015,0.012672079,0.00035127002,0.012798364,0.0016332926,0.001203264,0.0008701383
../image_acquisition/dataset_split\val\Comet\48.jpg,0,彗星,0,彗星,9,太阳,3,火星,True,0.9987613,3.9216517e-05,2.1502061e-05,0.00021583798,1.6658398e-06,9.744333e-06,0.00013278497,1.7510383e-05,4.7636844e-05,0.00068937585,5.5295372e-06,5.8006804e-05
../image_acquisition/dataset_split\val\Comet\483.jpg,0,彗星,0,彗星,11,金星,9,太阳,True,0.99998164,4.2910176e-07,6.4730983e-07,4.4911576e-07,4.4478043e-09,5.3710867e-09,3.2152232e-06,1.8481195e-08,3.6894862e-06,3.932175e-06,3.561839e-07,5.6427043e-06
../image_acquisition/dataset_split\val\Comet\486.jpg,0,彗星,0,彗星,1,地球,5,月球,True,0.99284655,0.002749085,9.228004e-05,0.0003939892,3.111907e-06,0.0019455442,0.0012498194,7.402449e-06,0.00033091064,1.537024e-05,0.0002068003,0.00015908835
../image_acquisition/dataset_split\val\Comet\491.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.8850257,0.00023724865,0.005579831,0.009432808,5.3284e-06,0.00018641104,0.0015150473,0.00014875739,0.018738896,0.05382161,0.00061973673,0.024688613
../image_acquisition/dataset_split\val\Comet\5.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.9997093,1.0250678e-05,1.8045333e-05,8.09253e-06,5.2644253e-07,1.1209341e-06,3.318222e-05,6.322654e-06,2.5618085e-05,0.00013204484,8.8319734e-07,5.4612156e-05
../image_acquisition/dataset_split\val\Comet\500.jpg,0,彗星,0,彗星,1,地球,10,天王星,True,0.9999318,6.744527e-05,7.897172e-10,2.7983382e-09,7.3050795e-11,6.528409e-09,3.9715875e-08,1.894749e-11,2.9404088e-08,2.0556229e-07,4.0891433e-07,2.0597566e-08
../image_acquisition/dataset_split\val\Comet\502.jpg,0,彗星,0,彗星,11,金星,9,太阳,True,0.99998164,4.2910176e-07,6.4730983e-07,4.4911576e-07,4.4478043e-09,5.3710867e-09,3.2152232e-06,1.8481195e-08,3.6894862e-06,3.932175e-06,3.561839e-07,5.6427043e-06
../image_acquisition/dataset_split\val\Comet\515.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99940693,1.567723e-05,1.4289052e-06,4.405752e-06,2.0455018e-07,4.86633e-06,5.432126e-05,3.7363787e-08,2.1504165e-05,0.0004664207,4.139018e-06,2.0015736e-05
../image_acquisition/dataset_split\val\Comet\523.jpg,0,彗星,0,彗星,9,太阳,1,地球,True,0.99166566,0.0010355964,0.00027593697,0.00043395726,6.2236664e-05,0.00028780577,0.000758414,0.00054360484,0.0001774155,0.0044266577,5.744418e-05,0.0002752429
../image_acquisition/dataset_split\val\Comet\528.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.9926802,4.2083615e-05,0.00035860445,0.0002851682,1.7441744e-06,9.531459e-06,0.00018960406,6.253916e-05,0.00058215903,0.0032765132,5.7844787e-05,0.0024539505
../image_acquisition/dataset_split\val\Comet\537.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.99990726,3.4615482e-06,4.9669293e-06,2.5198362e-06,2.3116624e-07,6.714832e-07,1.42067e-05,1.5032603e-06,1.2980937e-05,3.1745014e-05,3.869339e-07,2.0072126e-05
../image_acquisition/dataset_split\val\Comet\538.jpg,0,彗星,0,彗星,9,太阳,8,土星,True,0.99999654,5.229504e-07,2.9596968e-08,4.807617e-09,1.854007e-09,8.652629e-09,2.8263736e-07,9.182391e-11,9.653645e-07,1.3697546e-06,3.7937866e-08,2.494311e-07
../image_acquisition/dataset_split\val\Comet\539.jpg,0,彗星,0,彗星,11,金星,6,海王星,True,0.99976104,4.857983e-07,4.2204174e-06,2.5481637e-07,5.337616e-08,3.6717903e-08,8.28281e-05,4.680008e-08,7.574628e-06,2.3467914e-05,5.359524e-06,0.00011471972
../image_acquisition/dataset_split\val\Comet\542.jpg,0,彗星,0,彗星,9,太阳,6,海王星,True,0.99795,0.0002006864,1.5325124e-06,4.188893e-05,8.091219e-06,0.00029453984,0.0005055471,2.5175132e-07,4.6976056e-05,0.000795357,0.00013406426,2.1115951e-05
../image_acquisition/dataset_split\val\Comet\546.jpg,0,彗星,0,彗星,6,海王星,9,太阳,True,0.99872357,0.00024723852,7.963721e-06,1.2681116e-05,6.372067e-07,6.32197e-06,0.0005947847,2.451792e-07,1.783943e-05,0.00032825614,5.164226e-05,8.903927e-06
../image_acquisition/dataset_split\val\Comet\549.jpg,0,彗星,0,彗星,8,土星,11,金星,True,0.9691868,0.0006878802,0.003939474,0.00070729794,0.00011922109,0.00027952733,0.0009222032,0.0002164573,0.011197105,0.002645275,0.00056875736,0.009530123
